areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-03-31,25521,5141
K02000001,United Kingdom,overview,2020-03-30,22271,4310
K02000001,United Kingdom,overview,2020-03-29,19606,3599
K02000001,United Kingdom,overview,2020-03-28,17104,3013
K02000001,United Kingdom,overview,2020-03-27,14548,2497
K02000001,United Kingdom,overview,2020-03-26,11658,2034
K02000001,United Kingdom,overview,2020-03-25,9529,1621
K02000001,United Kingdom,overview,2020-03-24,8077,1284
K02000001,United Kingdom,overview,2020-03-23,6650,1021
K02000001,United Kingdom,overview,2020-03-22,5683,813
K02000001,United Kingdom,overview,2020-03-21,5018,630
K02000001,United Kingdom,overview,2020-03-20,3983,486
K02000001,United Kingdom,overview,2020-03-19,3269,368
K02000001,United Kingdom,overview,2020-03-18,2626,289
K02000001,United Kingdom,overview,2020-03-17,1950,216
K02000001,United Kingdom,overview,2020-03-16,1543,158
K02000001,United Kingdom,overview,2020-03-15,1391,107
K02000001,United Kingdom,overview,2020-03-14,1061,76
K02000001,United Kingdom,overview,2020-03-13,797,55
K02000001,United Kingdom,overview,2020-03-12,590,39
K02000001,United Kingdom,overview,2020-03-11,456,26
K02000001,United Kingdom,overview,2020-03-10,373,19
K02000001,United Kingdom,overview,2020-03-09,321,16
K02000001,United Kingdom,overview,2020-03-08,271,11
K02000001,United Kingdom,overview,2020-03-07,206,9
K02000001,United Kingdom,overview,2020-03-06,160,9
K02000001,United Kingdom,overview,2020-03-05,114,7
K02000001,United Kingdom,overview,2020-03-04,85,5
K02000001,United Kingdom,overview,2020-03-03,51,4
K02000001,United Kingdom,overview,2020-03-02,40,4
K02000001,United Kingdom,overview,2020-03-01,35,3
K02000001,United Kingdom,overview,2020-02-29,23,3
K02000001,United Kingdom,overview,2020-02-28,19,3
K02000001,United Kingdom,overview,2020-02-27,13,3
K02000001,United Kingdom,overview,2020-02-26,13,3
K02000001,United Kingdom,overview,2020-02-25,13,3
K02000001,United Kingdom,overview,2020-02-24,13,3
K02000001,United Kingdom,overview,2020-02-23,9,3
K02000001,United Kingdom,overview,2020-02-22,9,3
K02000001,United Kingdom,overview,2020-02-21,9,2
K02000001,United Kingdom,overview,2020-02-20,9,2
K02000001,United Kingdom,overview,2020-02-19,9,2
K02000001,United Kingdom,overview,2020-02-18,9,2
K02000001,United Kingdom,overview,2020-02-17,9,2
K02000001,United Kingdom,overview,2020-02-16,9,2
K02000001,United Kingdom,overview,2020-02-15,9,2
K02000001,United Kingdom,overview,2020-02-14,9,2
K02000001,United Kingdom,overview,2020-02-13,9,2
K02000001,United Kingdom,overview,2020-02-12,8,2
K02000001,United Kingdom,overview,2020-02-11,8,2
K02000001,United Kingdom,overview,2020-02-10,8,2
K02000001,United Kingdom,overview,2020-02-09,4,2
K02000001,United Kingdom,overview,2020-02-08,3,2
K02000001,United Kingdom,overview,2020-02-07,3,2
K02000001,United Kingdom,overview,2020-02-06,3,2
K02000001,United Kingdom,overview,2020-02-05,2,2
K02000001,United Kingdom,overview,2020-02-04,2,2
K02000001,United Kingdom,overview,2020-02-03,2,2
K02000001,United Kingdom,overview,2020-02-02,2,2
K02000001,United Kingdom,overview,2020-02-01,2,1
K02000001,United Kingdom,overview,2020-01-31,2,1
K02000001,United Kingdom,overview,2020-01-30,,1
